sensor_type,value,timestamp
luminosidade,787.9,2021-12-18 00:00:00
luminosidade,481.5,2017-11-26 00:00:00
luminosidade,958.9,2018-03-06 00:00:00
luminosidade,910.4,2023-09-20 00:00:00
luminosidade,211.0,2018-07-30 00:00:00
luminosidade,745.9,2019-02-27 00:00:00
luminosidade,275.5,2017-03-13 00:00:00
luminosidade,318.8,2023-09-01 00:00:00
luminosidade,919.8,2019-05-30 00:00:00
luminosidade,878.7,2019-05-26 00:00:00
luminosidade,645.1,2024-05-25 00:00:00
luminosidade,596.5,2020-02-18 00:00:00
luminosidade,285.8,2017-10-31 00:00:00
luminosidade,655.3,2020-09-11 00:00:00
luminosidade,192.1,2025-11-22 00:00:00
luminosidade,137.6,2016-04-16 00:00:00
luminosidade,758.9,2020-06-21 00:00:00
luminosidade,868.4,2020-09-22 00:00:00
luminosidade,637.8,2017-04-28 00:00:00
luminosidade,647.2,2023-07-14 00:00:00
