sensor_type,value,timestamp
temperature,18.9,2016-03-12 06:15:00
temperature,21.2,2016-07-22 14:48:00
temperature,14.3,2017-01-05 05:33:00
temperature,22.6,2017-05-18 16:22:00
temperature,31.2,2017-09-30 11:10:00
temperature,20.1,2018-02-14 07:45:00
temperature,16.4,2018-06-23 12:18:00
temperature,32.8,2018-10-01 19:25:00
temperature,13.5,2019-03-03 08:42:00
temperature,27.2,2019-07-14 15:56:00
temperature,22.9,2020-01-09 04:28:00
temperature,35.0,2020-04-30 09:33:00
temperature,28.1,2020-08-17 13:47:00
temperature,11.7,2020-11-26 18:59:00
temperature,20.4,2021-02-08 03:21:00
temperature,25.8,2021-06-05 10:02:00
temperature,30.5,2021-09-22 17:40:00
temperature,19.7,2022-01-30 06:09:00
temperature,9.0,2022-04-19 13:30:00
temperature,27.5,2022-07-10 20:15:00
